culture,post_id,age,born_in,education,employement,gender,marital_status,number_of_people_in_household,profession,religion,settlement,social_class
Indonesia,18o5s98,Late 20s / early 30s,,,Employed,Male,Married,,,Believe in God,Indonesia,
Indonesia,18f1stq,18-20,,D3,,Male,,,,,Indonesia,
Indonesia,16bfndy,22,,S1,Unemployed,Male,,,,,Indonesia,
Indonesia,1rdjzfi,17-18,,High School,,,,,student,,Indonesia,
Indonesia,1ntn1ae,,outside Indonesia,,,,,,,,Indonesia,
Indonesia,pwf3zv,,,,,,,,,,Indonesia,
Indonesia,1guv8wk,,,,Employed,,,,Teacher,,,
Indonesia,eumekq,young adult,,University,,Male,,,,,,
Indonesia,1o55vku,,,,,,,,student,,Indonesia,
Indonesia,804qhg,,,University,,Female,,,,agnostic,Indonesia,
Indonesia,1p5dryo,24,,,,Male,,,,,Indonesia,
Indonesia,16fq4u5,27,,,,Male,,,,,Indonesia,
Indonesia,15zh12o,,,,,,,,,,Indonesia,
Indonesia,1e9x75i,,,,,,,,,Islam,Indonesia,
Indonesia,1pwqaqs,,,,,,,,,Islam,Indonesia,
Indonesia,1azmkao,35+,,University,Employed,,single,1,,Islam,Indonesia,
Indonesia,1n74908,,,,Unemployed,,,,,,Indonesia,
Indonesia,196lrl9,,,,,,,,,,Indonesia,
Indonesia,1quqfwh,,,,Caregiver,,,,,,Indonesia,
Indonesia,aweind,,,University,Student,,,,,,China,
