culture,post_id,age,born_in,education,employement,gender,marital_status,number_of_people_in_household,profession,religion,settlement,social_class,,,,,,,,,,,,
Spanish,1qtde3h,21,Spain,,Unemployed,Male,Single,,,,Spain,,,,,,,,,,,,,
Spanish,1c34kgo,,,High School Graduate,Unemployed,Female,Single,5,,,,,,,,,,,,,,,,
Spanish,1lx71oq,30,Mexico,Technician Studies,Unemployed,Male,Single,,Communication and Advertising,,Spain,,,,,,,,,,,,,
Spanish,1rd6439,,Guatemala,,Employed,Male,Single,,,Catholic or Christian,Guatemala,,,,,,,,,,,,,
Spanish,1kjr4fc,,Venezuela,,,Male,,,,,Colombia,,,,,,,,,,,,,
Spanish,10ra4rh,,Argentina,,Employed,Male,Married,2,,,Argentina,,,,,,,,,,,,,
Spanish,1snmswt,22,Guatemala,,Employed,Female,,4+,,,Guatemala,,,,,,,,,,,,,
Spanish,1o0cs4x,,Venezuela,,,Male,Divorced,2,,,Venezuela,,,,,,,,,,,,,
Spanish,1m7ej82,17,Guatemala,Highscool Student,Unemployed,Male,,,,,Guatemala,,,,,,,,,,,,,
Spanish,1g3g4jk,,Venezuela,,Employed,Male,Single,,,,Venezuela,,,,,,,,,,,,,
Spanish,1byaqaf,20,Guatemala,University student,Employed,Male,Single,,Systems / IT student,,Guatemala,,,,,,,,,,,,,
Spanish,1dn4uwr,,,,,Female,Single,,,,,,,,,,,,,,,,,
Spanish,1qcc2o0,30,Colombia,University,Employed,Male,Single,,,,Colombia,upper-middle,,,,,,,,,,,,
Spanish,1qkjfwj,,Mexico,,Self-employed,Male,Single,,Motorcycle seller / informal commerce,,Mexico,,,,,,,,,,,,,
Spanish,1rept5y,30,Guatemala,University graduate,Employed,Male,Single,1,,Catholic,Guatemala,lower-middle,,,,,,,,,,,,
Spanish,164q1mw,25,Venezuela,University graduate,Employed,Female,Single,3,,,Chile,,,,,,,,,,,,,
Spanish,1e6b287,,Venezuela,,Self-employed,Male,Single,,Vtuber / content creator,,Venezuela,,,,,,,,,,,,,
Spanish,1g14ai3,20,Bolivia,University student,,Male,Single,,,Catholic,Mexico,,,,,,,,,,,,,
Spanish,1j8bagy,,Spain,,Employed,Male,Single,,,,Spain,,,,,,,,,,,,,
Spanish,1rxny67,24,Brasil,University student,Unemployed,Female,Single,,,,Brasil,,,,,,,,,,,,,
